Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-02,11:57:59,22.57,21.72,4.36
2026-06-02,11:57:59,22.57,21.72,4.36
2026-06-02,11:58:16,22.58,21.74,4.36
2026-06-02,11:58:16,22.58,21.74,4.36
2026-06-02,11:58:43,22.56,21.98,4.41
2026-06-02,11:58:43,22.56,21.98,4.41
2026-06-02,11:59:43,22.56,21.98,4.41
2026-06-02,11:59:43,22.56,21.98,4.41
2026-06-02,11:59:49,22.57,22.10,4.43
2026-06-02,11:59:49,22.57,22.10,4.43
2026-06-02,12:00:33,22.56,21.90,4.39
2026-06-02,12:00:33,22.56,21.90,4.39
2026-06-02,12:01:33,22.56,21.90,4.39
2026-06-02,12:01:33,22.56,21.90,4.39
2026-06-02,12:01:56,22.59,21.99,4.42
2026-06-02,12:01:56,22.59,21.99,4.42
2026-06-02,12:02:24,22.56,21.94,4.40
2026-06-02,12:02:24,22.56,21.94,4.40
2026-06-02,12:05:13,22.56,21.94,4.40
2026-06-02,12:05:13,22.56,21.94,4.40
2026-06-02,12:14:39,22.58,22.20,4.46
2026-06-02,12:14:39,22.58,22.20,4.46
2026-06-02,12:14:39,22.58,22.41,4.50
2026-06-02,12:14:39,22.60,22.47,4.51
2026-06-02,12:14:40,22.60,22.47,4.51
2026-06-02,12:14:40,22.59,22.32,4.48
2026-06-02,12:14:40,22.59,22.32,4.48
2026-06-03,15:03:24,22.32,7.50,1.48
2026-06-03,15:04:24,22.32,7.50,1.48
2026-06-03,15:04:36,22.32,7.21,1.43
2026-06-03,15:05:03,22.32,7.06,1.40
2026-06-03,15:06:03,22.32,7.06,1.40
2026-06-03,15:06:15,22.32,6.74,1.33
2026-06-03,15:07:15,22.32,6.74,1.33
2026-06-03,15:07:32,22.30,6.49,1.28
2026-06-03,15:08:00,22.31,6.35,1.26
2026-06-03,15:08:11,22.31,6.32,1.25
2026-06-03,15:08:27,22.32,6.28,1.24
2026-06-03,15:09:44,22.33,6.01,1.19
2026-06-03,15:10:12,22.32,5.91,1.17
2026-06-03,15:11:12,22.32,5.91,1.17
2026-06-03,15:12:13,22.31,5.55,1.10
2026-06-03,15:12:29,22.30,5.49,1.08
2026-06-03,15:13:08,22.31,5.36,1.06
2026-06-03,15:13:35,22.32,5.31,1.05
2026-06-03,15:14:03,22.31,5.25,1.04
2026-06-03,15:14:31,22.31,5.11,1.01
2026-06-03,15:14:58,22.34,5.13,1.02
2026-06-03,15:15:15,22.30,5.02,0.99
2026-06-03,15:15:26,22.30,4.99,0.99
2026-06-03,15:16:10,22.31,4.93,0.97
2026-06-03,15:16:37,22.30,4.85,0.96
2026-06-03,15:16:48,22.29,4.80,0.95
2026-06-03,15:17:32,22.30,4.74,0.94
2026-06-03,15:17:43,22.32,4.68,0.93
2026-06-03,15:18:27,22.31,4.62,0.91
2026-06-03,15:18:55,22.29,4.49,0.89
2026-06-03,15:19:22,22.28,4.46,0.88
2026-06-03,15:30:12,22.28,4.35,0.86
2026-06-03,15:30:12,22.28,4.35,0.86
2026-06-03,15:30:12,22.28,4.26,0.84
2026-06-03,15:30:12,22.28,4.26,0.84
2026-06-03,15:30:12,22.28,4.15,0.82
2026-06-03,15:30:12,22.28,4.07,0.80
2026-06-03,15:30:12,22.28,4.04,0.80
2026-06-03,15:30:12,22.29,4.03,0.80
2026-06-03,15:30:12,22.29,4.02,0.79
2026-06-03,15:30:12,22.28,3.88,0.76
2026-06-03,15:30:13,22.27,3.87,0.76
2026-06-03,15:30:13,22.28,3.82,0.75
2026-06-03,15:30:13,22.31,3.77,0.74
2026-06-03,15:30:13,22.29,3.74,0.74
2026-06-03,15:30:13,22.29,3.60,0.71
2026-06-03,15:30:13,22.29,3.56,0.70
2026-06-03,15:30:13,22.26,3.47,0.68
2026-06-03,15:30:13,22.25,3.42,0.67
2026-06-03,15:30:13,22.26,3.37,0.66
2026-06-03,15:30:28,22.26,3.39,0.67
2026-06-03,15:30:56,22.25,3.30,0.65
2026-06-03,15:31:56,22.25,3.30,0.65
2026-06-03,15:33:38,22.27,3.23,0.64
2026-06-03,15:33:38,22.27,3.14,0.62
2026-06-03,15:34:08,22.27,3.14,0.62
2026-06-03,15:34:09,22.28,3.07,0.60
2026-06-03,15:35:04,22.27,2.99,0.59
2026-06-03,15:36:04,22.27,2.99,0.59
2026-06-03,15:36:10,22.24,2.96,0.58
2026-06-03,15:36:37,22.26,2.90,0.57
2026-06-03,15:36:54,22.24,2.88,0.57
2026-06-03,15:37:05,22.25,2.88,0.57
2026-06-03,15:38:00,22.24,2.83,0.56
2026-06-03,15:39:00,22.24,2.83,0.56
