Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-02,11:58:48,23.75,0.93,0.20
2026-06-02,11:58:48,23.75,0.93,0.20
2026-06-02,11:59:26,23.74,0.88,0.19
2026-06-02,11:59:26,23.74,0.88,0.19
2026-06-02,12:00:26,23.74,0.88,0.19
2026-06-02,12:00:27,23.74,0.88,0.19
2026-06-02,12:05:13,23.77,0.88,0.19
2026-06-02,12:05:13,23.77,0.88,0.19
2026-06-02,12:05:13,23.80,0.91,0.20
2026-06-02,12:05:13,23.80,0.91,0.20
2026-06-02,12:05:13,23.78,0.93,0.20
2026-06-02,12:05:13,23.78,0.93,0.20
2026-06-02,12:05:35,23.80,0.90,0.19
2026-06-02,12:05:35,23.80,0.90,0.19
2026-06-02,12:06:35,23.80,0.90,0.19
2026-06-02,12:07:36,23.80,0.90,0.19
2026-06-02,12:08:32,23.80,0.98,0.21
2026-06-02,12:14:39,23.78,0.90,0.19
2026-06-02,12:14:39,23.78,0.90,0.19
2026-06-03,14:59:24,23.50,0.89,0.19
2026-06-03,15:00:08,23.50,0.86,0.18
2026-06-03,15:00:58,23.49,0.86,0.18
2026-06-03,15:01:31,23.49,0.90,0.19
2026-06-03,15:01:53,23.50,0.88,0.19
2026-06-03,15:01:59,23.50,0.88,0.19
2026-06-03,15:02:10,23.49,0.90,0.19
2026-06-03,15:02:26,23.47,0.86,0.18
2026-06-03,15:03:21,23.50,0.87,0.18
2026-06-03,15:04:21,23.50,0.87,0.18
