Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-02,11:57:07,21.96,1.03,0.20
2026-06-02,11:57:07,21.96,1.03,0.20
2026-06-02,11:58:07,21.96,1.03,0.20
2026-06-02,11:58:07,21.96,1.03,0.20
2026-06-02,11:58:30,21.98,0.96,0.19
2026-06-02,11:58:30,21.98,0.96,0.19
2026-06-02,11:59:25,22.00,0.86,0.17
2026-06-02,11:59:25,22.00,0.86,0.17
2026-06-02,11:59:52,21.98,0.98,0.19
2026-06-02,11:59:52,21.98,0.98,0.19
2026-06-02,12:00:20,22.01,0.90,0.18
2026-06-02,12:00:20,22.01,0.90,0.18
2026-06-02,12:00:47,22.00,0.89,0.17
2026-06-02,12:00:47,22.00,0.89,0.17
2026-06-02,12:01:15,22.02,0.85,0.17
2026-06-02,12:01:15,22.02,0.85,0.17
2026-06-02,12:01:42,22.01,0.91,0.18
2026-06-02,12:01:42,22.01,0.91,0.18
2026-06-02,12:02:10,22.03,0.86,0.17
2026-06-02,12:02:10,22.03,0.86,0.17
2026-06-02,12:02:37,22.03,0.87,0.17
2026-06-02,12:02:37,22.03,0.87,0.17
2026-06-02,12:05:13,22.03,0.87,0.17
2026-06-02,12:05:13,22.03,0.87,0.17
2026-06-02,12:14:39,22.07,0.87,0.17
2026-06-02,12:14:39,22.07,0.87,0.17
2026-06-02,12:14:39,22.11,0.95,0.18
2026-06-02,12:14:39,22.09,0.94,0.18
2026-06-02,12:14:39,22.09,0.97,0.19
2026-06-02,12:14:40,22.09,0.97,0.19
2026-06-03,15:02:40,22.13,12.84,2.51
2026-06-03,15:03:40,22.13,12.84,2.51
2026-06-03,15:03:41,22.12,12.51,2.45
2026-06-03,15:04:09,22.11,12.32,2.41
2026-06-03,15:05:04,22.13,12.16,2.38
2026-06-03,15:05:59,22.13,11.92,2.33
2026-06-03,15:06:59,22.13,11.92,2.33
2026-06-03,15:08:55,22.12,10.97,2.14
2026-06-03,15:09:06,22.13,10.97,2.14
2026-06-03,15:09:22,22.13,10.96,2.14
2026-06-03,15:09:50,22.12,10.87,2.12
2026-06-03,15:10:50,22.12,10.87,2.12
2026-06-03,15:11:40,22.12,10.48,2.05
2026-06-03,15:12:40,22.12,10.48,2.05
2026-06-03,15:12:46,22.11,10.17,1.99
2026-06-03,15:13:14,22.11,10.13,1.98
2026-06-03,15:13:41,22.08,10.00,1.95
2026-06-03,15:14:41,22.08,10.00,1.95
2026-06-03,15:16:04,22.11,9.84,1.92
2026-06-03,15:16:15,22.10,9.50,1.85
2026-06-03,15:17:15,22.10,9.50,1.85
2026-06-03,15:19:16,22.11,9.09,1.77
2026-06-03,15:30:12,22.09,8.78,1.71
2026-06-03,15:30:12,22.09,8.78,1.71
2026-06-03,15:30:12,22.05,8.44,1.64
2026-06-03,15:30:12,22.05,8.44,1.64
2026-06-03,15:30:12,22.07,8.31,1.62
2026-06-03,15:30:13,22.07,8.31,1.62
2026-06-03,15:30:13,22.04,8.18,1.59
2026-06-03,15:30:13,22.04,8.18,1.59
2026-06-03,15:30:13,22.01,8.04,1.56
2026-06-03,15:30:13,22.01,8.04,1.56
2026-06-03,15:30:13,22.03,7.94,1.54
2026-06-03,15:30:13,22.00,7.86,1.52
2026-06-03,15:31:12,22.00,7.86,1.52
2026-06-03,15:31:18,22.01,7.90,1.53
2026-06-03,15:31:46,21.99,7.89,1.53
2026-06-03,15:33:38,21.99,7.89,1.53
2026-06-03,15:34:58,21.97,7.55,1.46
2026-06-03,15:35:58,21.97,7.55,1.46
2026-06-03,15:37:16,21.97,7.32,1.42
2026-06-03,15:37:43,21.95,7.31,1.41
2026-06-03,15:38:05,21.97,7.28,1.41
2026-06-03,15:38:11,21.96,7.21,1.40
2026-06-03,15:38:38,21.95,7.18,1.39
2026-06-03,15:39:00,21.95,7.08,1.37
2026-06-03,15:44:40,21.95,7.08,1.37
2026-06-08,14:27:20,24.06,0.32,0.07
2026-06-08,14:59:54,24.05,0.30,0.07
2026-06-08,15:00:54,24.05,0.30,0.07
