Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-02,11:57:09,22.43,11.06,2.20
2026-06-02,11:57:09,22.43,11.06,2.20
2026-06-02,11:57:36,22.45,11.05,2.20
2026-06-02,11:57:36,22.45,11.05,2.20
2026-06-02,11:58:04,22.45,11.07,2.20
2026-06-02,11:58:04,22.45,11.07,2.20
2026-06-02,11:59:04,22.45,11.07,2.20
2026-06-02,11:59:04,22.45,11.07,2.20
2026-06-02,12:00:10,22.47,11.08,2.21
2026-06-02,12:00:10,22.47,11.08,2.21
2026-06-02,12:00:38,22.48,11.13,2.22
2026-06-02,12:00:38,22.48,11.13,2.22
2026-06-02,12:01:05,22.46,11.10,2.21
2026-06-02,12:01:05,22.46,11.10,2.21
2026-06-02,12:01:33,22.50,11.07,2.21
2026-06-02,12:01:33,22.50,11.07,2.21
2026-06-02,12:02:00,22.50,11.11,2.22
2026-06-02,12:02:00,22.50,11.11,2.22
2026-06-02,12:02:28,22.50,11.05,2.21
2026-06-02,12:02:28,22.50,11.05,2.21
2026-06-02,12:02:56,22.49,11.07,2.21
2026-06-02,12:02:56,22.49,11.07,2.21
2026-06-02,12:05:13,22.51,11.09,2.22
2026-06-02,12:05:13,22.51,11.09,2.22
2026-06-02,12:05:13,22.50,11.00,2.20
2026-06-02,12:05:13,22.50,11.00,2.20
2026-06-02,12:05:13,22.50,11.00,2.20
2026-06-02,12:05:13,22.50,11.00,2.20
2026-06-02,12:05:13,22.53,11.05,2.21
2026-06-02,12:05:13,22.53,11.05,2.21
2026-06-02,12:05:57,22.53,11.05,2.21
2026-06-02,12:08:42,22.51,11.03,2.21
2026-06-02,12:14:39,22.55,11.00,2.20
2026-06-02,12:14:39,22.52,11.01,2.20
2026-06-02,12:14:39,22.53,11.02,2.20
2026-06-02,12:14:39,22.53,11.01,2.20
2026-06-02,12:14:39,22.55,10.97,2.20
2026-06-02,12:14:39,22.54,10.99,2.20
2026-06-02,12:14:40,22.53,10.91,2.18
2026-06-02,12:14:40,22.53,10.91,2.18
2026-06-03,14:57:39,22.01,10.54,2.05
2026-06-03,14:58:39,22.01,10.54,2.05
2026-06-03,14:59:02,22.02,10.53,2.05
2026-06-03,15:00:02,22.02,10.53,2.05
2026-06-03,15:00:24,22.05,10.49,2.04
2026-06-03,15:01:24,22.05,10.49,2.04
2026-06-03,15:02:42,22.04,10.49,2.04
2026-06-03,15:03:42,22.04,10.49,2.04
2026-06-03,15:08:12,22.03,10.35,2.01
2026-06-03,15:09:02,22.04,10.33,2.01
2026-06-03,15:10:02,22.04,10.33,2.01
2026-06-03,15:10:13,22.04,10.32,2.01
2026-06-03,15:10:41,22.03,10.31,2.00
2026-06-03,15:11:25,22.04,10.29,2.00
2026-06-03,15:11:52,22.02,10.29,2.00
2026-06-03,15:12:48,22.02,10.29,2.00
2026-06-03,15:13:48,22.02,10.29,2.00
2026-06-03,15:13:59,22.01,10.24,1.99
2026-06-03,15:14:59,22.01,10.24,1.99
2026-06-03,15:30:13,21.92,10.19,1.97
2026-06-03,15:30:13,21.92,10.19,1.97
2026-06-03,15:30:13,21.87,10.17,1.96
2026-06-03,15:30:13,21.87,10.17,1.96
2026-06-03,15:30:13,21.89,10.14,1.96
2026-06-03,15:30:13,21.87,10.14,1.95
2026-06-03,15:30:40,21.87,10.14,1.95
2026-06-03,15:32:04,21.85,10.13,1.95
2026-06-03,15:33:38,21.85,10.13,1.95
2026-06-03,15:35:05,21.84,10.14,1.95
2026-06-03,15:36:00,21.79,10.13,1.94
2026-06-03,15:37:00,21.79,10.13,1.94
