Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-02,12:02:32,21.23,1.54,0.29
2026-06-02,12:02:32,21.23,1.54,0.29
2026-06-02,12:05:13,21.23,1.54,0.29
2026-06-02,12:05:13,21.23,1.54,0.29
2026-06-02,12:14:40,21.25,1.49,0.28
2026-06-02,12:14:40,21.25,1.49,0.28
2026-06-03,15:03:48,21.10,3.29,0.61
2026-06-03,15:04:16,21.13,3.21,0.59
2026-06-03,15:05:11,21.15,4.11,0.76
2026-06-03,15:05:39,21.13,3.03,0.56
2026-06-03,15:06:06,21.14,3.88,0.72
2026-06-03,15:07:06,21.14,3.88,0.72
2026-06-03,15:09:19,21.13,3.53,0.65
2026-06-03,15:10:19,21.13,3.53,0.65
2026-06-03,15:10:41,21.12,3.22,0.59
2026-06-03,15:11:25,21.15,2.92,0.54
2026-06-03,15:12:25,21.15,2.92,0.54
2026-06-03,15:12:42,21.13,3.44,0.63
2026-06-03,15:13:26,21.12,3.95,0.73
2026-06-03,15:14:27,21.12,3.95,0.73
2026-06-03,15:14:38,21.14,2.79,0.52
2026-06-03,15:15:06,21.13,3.53,0.65
2026-06-03,15:15:22,21.13,3.15,0.58
2026-06-03,15:15:50,21.13,3.22,0.59
2026-06-03,15:16:50,21.13,3.22,0.59
2026-06-03,15:17:12,21.13,3.80,0.70
2026-06-03,15:17:40,21.13,3.47,0.64
2026-06-03,15:18:07,21.12,3.60,0.66
2026-06-03,15:18:35,21.14,3.86,0.71
2026-06-03,15:19:02,21.13,3.71,0.68
2026-06-03,15:30:12,21.17,3.79,0.70
2026-06-03,15:30:12,21.13,3.19,0.59
2026-06-03,15:30:12,21.14,3.52,0.65
2026-06-03,15:30:12,21.14,3.19,0.59
2026-06-03,15:30:12,21.12,2.96,0.55
2026-06-03,15:30:12,21.12,2.96,0.55
2026-06-03,15:30:12,21.17,3.07,0.57
2026-06-03,15:30:12,21.17,2.90,0.54
2026-06-03,15:30:12,21.14,3.40,0.63
2026-06-03,15:30:13,21.14,3.40,0.63
2026-06-03,15:30:13,21.15,3.68,0.68
2026-06-03,15:30:13,21.15,3.68,0.68
2026-06-03,15:30:13,21.15,3.64,0.67
2026-06-03,15:30:13,21.15,3.64,0.67
2026-06-03,15:30:13,21.16,2.96,0.55
2026-06-03,15:30:13,21.17,3.50,0.65
2026-06-03,15:30:13,21.14,3.97,0.73
2026-06-03,15:30:24,21.14,3.97,0.73
2026-06-03,15:31:59,21.17,3.66,0.68
2026-06-03,15:33:38,21.15,3.69,0.68
2026-06-03,15:33:38,21.15,3.69,0.68
2026-06-03,15:33:49,21.15,3.04,0.56
2026-06-03,15:34:27,21.14,3.60,0.66
2026-06-03,15:35:27,21.14,3.60,0.66
2026-06-03,15:35:33,21.15,2.98,0.55
2026-06-03,15:36:28,21.14,3.63,0.67
2026-06-03,15:36:56,21.15,3.74,0.69
2026-06-03,15:37:40,21.15,3.44,0.64
2026-06-03,15:38:07,21.14,2.99,0.55
2026-06-03,15:38:35,21.15,3.53,0.65
2026-06-03,15:44:40,21.15,3.53,0.65
