Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-02,11:58:05,22.39,0.56,0.11
2026-06-02,11:58:05,22.39,0.56,0.11
2026-06-02,11:58:33,22.37,0.58,0.11
2026-06-02,11:58:33,22.37,0.58,0.11
2026-06-02,11:59:00,22.38,0.55,0.11
2026-06-02,11:59:00,22.38,0.55,0.11
2026-06-02,11:59:28,22.40,0.55,0.11
2026-06-02,11:59:28,22.40,0.55,0.11
2026-06-02,12:00:06,22.38,0.55,0.11
2026-06-02,12:00:06,22.38,0.55,0.11
2026-06-02,12:00:23,22.38,0.55,0.11
2026-06-02,12:00:23,22.38,0.55,0.11
2026-06-02,12:00:50,22.37,0.55,0.11
2026-06-02,12:00:50,22.37,0.55,0.11
2026-06-02,12:01:46,22.39,0.53,0.11
2026-06-02,12:01:46,22.39,0.53,0.11
2026-06-02,12:02:41,22.40,0.52,0.10
2026-06-02,12:02:41,22.40,0.52,0.10
2026-06-02,12:02:57,22.41,0.56,0.11
2026-06-02,12:02:57,22.41,0.56,0.11
2026-06-02,12:05:13,22.41,0.56,0.11
2026-06-02,12:05:13,22.41,0.56,0.11
2026-06-02,12:14:39,22.46,0.50,0.10
2026-06-02,12:14:39,22.45,0.51,0.10
2026-06-02,12:14:39,22.45,0.51,0.10
2026-06-02,12:14:39,22.44,0.48,0.10
2026-06-02,12:14:39,22.44,0.48,0.10
2026-06-02,12:14:40,22.47,0.51,0.10
2026-06-02,12:14:40,22.47,0.51,0.10
2026-06-03,15:03:13,21.82,0.22,0.04
2026-06-03,15:03:40,21.85,0.18,0.04
2026-06-03,15:04:40,21.85,0.18,0.04
2026-06-03,15:06:09,21.87,0.19,0.04
2026-06-03,15:07:09,21.87,0.19,0.04
2026-06-03,15:09:33,21.84,0.21,0.04
2026-06-03,15:10:00,21.84,0.20,0.04
2026-06-03,15:10:28,21.84,0.19,0.04
2026-06-03,15:11:23,21.85,0.20,0.04
2026-06-03,15:12:18,21.83,0.21,0.04
2026-06-03,15:13:18,21.83,0.21,0.04
2026-06-03,15:13:57,21.81,0.20,0.04
2026-06-03,15:14:57,21.81,0.20,0.04
2026-06-03,15:18:21,21.77,0.21,0.04
2026-06-03,15:19:05,21.77,0.17,0.03
2026-06-03,15:30:12,21.77,0.17,0.03
2026-06-03,15:30:12,21.74,0.22,0.04
2026-06-03,15:30:12,21.73,0.21,0.04
2026-06-03,15:30:12,21.73,0.21,0.04
2026-06-03,15:30:13,21.71,0.22,0.04
2026-06-03,15:30:13,21.71,0.22,0.04
2026-06-03,15:30:28,21.68,0.19,0.04
2026-06-03,15:31:28,21.68,0.19,0.04
2026-06-03,15:33:38,21.68,0.18,0.03
2026-06-03,15:33:51,21.68,0.18,0.03
2026-06-03,15:35:03,21.67,0.20,0.04
2026-06-03,15:35:14,21.67,0.24,0.05
2026-06-03,15:36:14,21.67,0.24,0.05
2026-06-03,15:38:54,21.64,0.24,0.04
2026-06-03,15:44:40,21.64,0.24,0.04
