Date,Time,Temperature_C,Humidity_pct,AbsHumidity_gm3
2026-06-07,09:43:31,22.61,64.84,13.03
2026-06-07,09:43:47,22.61,64.85,13.04
2026-06-07,09:44:15,22.61,64.83,13.03
2026-06-07,09:44:26,22.61,64.80,13.03
2026-06-07,09:44:31,22.61,64.83,13.03
2026-06-07,09:44:42,22.60,64.83,13.03
2026-06-07,09:44:59,22.62,64.82,13.04
2026-06-07,09:45:27,22.62,64.81,13.03
2026-06-07,09:45:54,22.60,64.82,13.02
2026-06-07,09:46:49,22.60,64.81,13.02
2026-06-07,09:47:17,22.59,64.81,13.01
2026-06-07,09:48:17,22.59,64.81,13.01
2026-06-07,09:49:07,22.61,64.78,13.02
2026-06-07,09:49:34,22.60,64.76,13.01
2026-06-07,09:50:02,22.58,64.77,13.00
2026-06-07,09:50:57,22.58,64.76,13.00
2026-06-07,09:51:57,22.58,64.76,13.00
2026-06-07,09:53:14,22.59,64.76,13.00
2026-06-07,09:53:42,22.58,64.77,13.00
2026-06-07,09:54:42,22.58,64.77,13.00
2026-06-07,09:54:54,22.58,64.74,12.99
2026-06-07,09:55:21,22.60,64.77,13.01
2026-06-07,09:56:16,22.58,64.75,13.00
2026-06-07,09:56:38,22.55,64.75,12.97
2026-06-07,09:57:28,22.56,64.73,12.97
2026-06-07,09:57:39,22.58,64.75,12.99
2026-06-07,09:57:55,22.56,64.74,12.98
2026-06-07,09:58:06,22.58,64.74,12.99
2026-06-07,09:59:06,22.58,64.74,12.99
2026-06-07,10:00:51,22.57,64.72,12.98
2026-06-07,10:01:19,22.58,64.71,12.99
2026-06-07,10:02:19,22.58,64.71,12.99
2026-06-07,10:02:42,22.56,64.68,12.96
2026-06-07,10:03:09,22.53,64.68,12.94
2026-06-07,10:03:37,22.55,64.68,12.96
2026-06-07,10:04:04,22.54,64.68,12.95
2026-06-07,10:04:59,22.55,64.68,12.96
2026-06-07,10:05:10,22.56,64.70,12.97
2026-06-07,10:05:27,22.55,64.66,12.95
2026-06-07,10:05:38,22.55,64.67,12.95
2026-06-07,10:06:05,22.54,64.68,12.95
2026-06-07,10:06:33,22.55,64.66,12.96
2026-06-07,10:07:00,22.54,64.65,12.94
2026-06-07,10:07:39,22.57,64.68,12.97
2026-06-07,10:08:06,22.54,64.65,12.94
2026-06-07,10:08:34,22.53,64.63,12.93
2026-06-07,10:09:34,22.53,64.63,12.93
2026-06-07,10:10:13,22.52,64.62,12.92
2026-06-07,10:10:29,22.54,64.64,12.94
2026-06-07,10:11:29,22.54,64.64,12.94
2026-06-07,10:12:47,22.51,64.59,12.91
2026-06-07,10:13:47,22.51,64.59,12.91
2026-06-07,10:16:27,22.51,64.58,12.90
2026-06-07,10:16:38,22.52,64.61,12.92
2026-06-07,10:16:55,22.52,64.57,12.91
2026-06-07,10:17:33,22.50,64.58,12.90
2026-06-07,10:17:50,22.51,64.59,12.90
2026-06-07,10:18:01,22.51,64.54,12.90
2026-06-07,10:18:34,22.50,64.57,12.89
2026-06-07,10:18:56,22.52,64.54,12.91
2026-06-07,10:19:12,22.51,64.52,12.89
2026-06-07,10:19:23,22.49,64.49,12.87
2026-06-07,10:20:07,22.51,64.49,12.89
2026-06-07,10:20:19,22.50,64.51,12.89
2026-06-07,10:20:24,22.50,64.53,12.89
2026-06-07,10:20:35,22.49,64.49,12.87
2026-06-07,10:20:52,22.50,64.57,12.90
2026-06-07,10:21:36,22.50,64.59,12.90
2026-06-07,10:22:31,22.50,64.57,12.89
2026-06-07,10:22:58,22.52,64.57,12.91
2026-06-07,10:23:26,22.50,64.57,12.89
2026-06-07,10:23:53,22.50,64.53,12.89
